manifesto_id,climate,country,countryname,oecdmember,eumember,edate,date,party,partyname,partyabbrev,parfam,candidatename,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per1011,per1012,per1013,per1014,per1015,per1016,per1021,per1022,per1023,per1024,per1025,per1026,per1031,per1032,per1033,per2021,per2022,per2023,per2031,per2032,per2033,per2041,per3011,per3051,per3052,per3053,per3054,per3055,per4011,per4012,per4013,per4014,per4121,per4122,per4123,per4124,per4131,per4132,per5021,per5031,per5041,per5061,per6011,per6012,per6013,per6014,per6061,per6071,per6072,per6081,per7051,per7052,per7061,per7062,per103_1,per103_2,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per416_1,per416_2,per601_1,per601_2,per602_1,per602_2,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per703_1,per703_2,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm,lowe_rile,std_rile,std_lowe_rile,std_diff_rile,iso3,parfam_name,year
150601_199910,0.03770197486535,150,Argentina,0,0,1999-10-24,199910,150601,Action for the Republic,AR,60,Domingo Cavallo,314,5,2017.0,0.717,0.621,8.114,0.0,9.81265432035244,11.0,257.0,1,921,2024-1,567.0,2.998,0.353,0.0,0.353,1.411,0.176,0.353,3.88,3.351,0.0,0.0,0.529,6.702,0.353,0.0,3.527,0.0,10.229,4.938,0.353,5.996,4.762,2.116,0.705,0.0,0.353,1.411,0.353,0.0,0.705,3.527,0.0,0.0,2.998,0.0,1.94,2.293,1.94,2.116,8.466,3.175,4.938,0.705,0.0,0.353,0.0,0.0,7.055,1.94,0.0,0.0,1.764,0.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0,0.353,0.176,6.173,0.0,0.529,0.0,0.353,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.353,7.055,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,2.822,8.995,10.582,0.529,2024a,584ETE,-0.1663510198988325,0.1512165456073973,0.227373169068417,-0.0761566234610197,ARG,CON,1999
150032_199910,0.0222752585521081,150,Argentina,0,0,1999-10-24,199910,150032,"Aliance for Work, Justice, and Education",ALIANZA,30,Fernando de la Rúa,314,5,2017.0,0.717,0.621,43.764,0.0,48.3652471608538,119.0,257.0,8,921,2024-1,1273.0,4.792,0.314,0.0,0.55,0.628,0.0,1.021,1.964,1.807,0.0,0.0,2.671,3.928,0.079,0.157,5.97,0.0,9.662,1.728,0.943,1.414,5.027,5.892,0.0,0.0,2.2,0.0,0.628,0.0,1.414,8.248,0.0,0.0,1.885,0.0,1.493,0.786,3.535,2.985,8.091,0.0,4.713,0.0,1.021,0.0,0.236,0.0,3.299,1.335,1.178,0.0,3.221,0.0,1.335,0.079,1.257,2.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393,0.157,0.471,2.2,3.928,0.0,0.0,0.0,0.786,0.0,0.0,0.0,0.0,0.157,0.0,1.493,1.021,0.0,0.0,0.0,3.299,0.157,1.335,0.0,0.236,0.0,0.943,0.0,0.0,0.0,1.335,0.0,-13.04,5.892,3.299,11.076,1.021,2024a,PQA7K3,-0.7199980355009927,-0.4413123601331248,-0.3800337561083189,-0.0612786040248058,ARG,SOC,1999
150061_200906,0.0109890109890109,150,Argentina,0,0,2009-06-28,200906,150061,Alliance Union-PRO,,60,,314,5,2015.0,0.797,0.606,19.21,0.0,,11.0,257.0,8,911,2024-1,172.0,2.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.744,1.744,0.0,0.0,7.558,0.0,8.721,0.0,0.0,0.0,5.233,0.581,0.0,0.0,0.581,0.0,0.581,0.0,1.163,4.651,0.0,0.0,0.0,0.0,0.0,0.0,4.07,4.651,16.279,0.0,14.535,0.0,0.0,0.0,0.0,0.0,11.628,0.0,1.163,0.0,2.907,0.0,5.233,0.0,0.0,4.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.744,1.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.628,2.326,0.0,0.0,1.163,0.0,0.0,0.0,0.0,0.0,5.233,0.0,-18.023,0.581,0.0,20.93,0.0,2024a,T6TWJ8,-1.1753445988299571,-0.6647212234279963,-0.8795951158324822,0.2148738924044858,ARG,CON,2009
150026_201110,0.0267379679144385,150,Argentina,0,0,2011-10-23,201110,150026,Broad Progressive Front,FAP,20,Hermes J. Binner,314,5,2015.0,0.797,0.606,12.5,0.0,16.81,23.0,257.0,8,901,2024-1,536.0,2.425,0.0,0.0,0.373,0.0,0.0,0.933,0.746,0.746,0.0,0.0,0.373,10.075,0.187,0.373,4.851,0.0,4.478,1.493,5.597,0.0,2.239,0.746,2.425,0.0,0.0,0.0,3.358,0.187,0.56,6.53,0.0,0.0,0.746,0.0,1.493,0.373,3.545,8.022,10.261,0.0,6.343,0.0,1.679,0.0,0.0,0.187,2.052,6.53,2.612,0.0,4.851,0.0,0.746,0.0,0.373,1.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,0.0,0.187,0.187,9.142,0.0,0.746,0.187,5.224,0.0,0.373,0.0,0.0,0.0,0.0,1.493,1.679,0.0,0.0,0.0,2.052,0.373,6.53,0.0,2.612,0.0,0.0,0.0,0.0,0.0,0.746,0.0,-17.351,3.172,0.746,18.284,0.933,2024a,P3DSD6,-0.9234829244511208,-0.6345926350005121,-0.6032773160554425,-0.0313153189450695,ARG,LEF,2011
150301_199505,0.0179372197309417,150,Argentina,0,0,1995-05-14,199505,150301,Civic Radical Union,UCR,30,Horacio Massacessi,314,5,2017.0,0.717,0.621,21.704,0.0,16.9935172195496,68.0,257.0,1,921,2024-1,880.0,1.818,0.114,0.114,0.341,1.477,0.0,2.045,2.386,1.477,0.0,0.0,1.136,12.727,0.0,1.705,4.205,0.0,2.5,3.068,8.75,0.909,2.841,7.159,0.341,0.341,0.341,0.455,1.364,0.0,1.364,3.977,0.0,0.0,1.477,0.0,1.705,1.364,3.977,4.432,2.727,0.0,4.318,0.0,3.75,0.341,0.0,0.0,1.023,1.932,1.364,0.0,2.5,0.0,2.386,0.0,0.227,3.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.341,0.0,0.114,1.023,12.727,0.0,0.0,0.0,8.295,0.341,0.0,0.0,0.0,0.114,0.0,1.705,3.75,0.0,0.0,0.341,1.023,0.0,1.932,0.0,0.455,0.0,0.909,0.0,0.0,0.0,2.386,0.0,-11.136,7.5,2.386,7.159,2.159,2024a,NFCFC9,-0.4781152031987439,-0.3559480262552529,-0.1146637581106709,-0.241284268144582,ARG,SOC,1995
150301_201310,0.0,150,Argentina,0,0,2013-10-27,201310,150301,Civic Radical Union,UCR,30,,314,5,2015.0,0.797,0.606,21.38,0.0,,54.0,257.0,1,901,2024-1,106.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.943,0.943,0.0,0.0,6.604,13.208,3.774,0.0,3.774,0.0,2.83,6.604,0.943,0.0,0.943,0.943,0.0,0.0,0.0,0.0,1.887,2.83,1.887,0.943,0.0,0.0,0.0,0.0,0.0,0.943,0.0,4.717,8.491,0.0,9.434,0.0,0.943,0.0,0.0,0.0,10.377,0.943,0.943,0.0,6.604,0.0,1.887,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.887,4.717,12.264,0.0,0.943,0.0,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943,0.0,0.0,0.0,10.377,0.0,0.943,0.0,0.0,0.0,0.943,0.0,0.0,0.0,1.887,0.0,-15.094,0.943,0.0,13.208,0.0,2024a,3C3C1S,-0.669990890070939,-0.5334018253564172,-0.3251708460111724,-0.2082309793452448,ARG,SOC,2013
150027_201110,0.0292314945780292,150,Argentina,0,0,2011-10-23,201110,150027,Federal Commitment,,20,Alberto J. Rodriguez Saa,314,5,2015.0,0.797,0.606,5.8,0.0,8.0,,257.0,8,901,2024-1,1927.0,2.647,0.0,0.0,0.104,0.727,0.0,0.104,1.194,2.491,0.0,0.0,0.986,9.808,2.18,0.0,2.75,0.0,9.808,1.764,2.854,0.415,1.557,0.519,0.363,0.0,0.0,0.0,1.349,0.0,0.052,6.85,0.0,0.0,2.024,0.0,3.581,6.175,3.477,4.048,5.034,0.052,3.684,0.0,0.934,0.363,1.09,0.0,10.431,1.142,1.038,0.0,2.335,0.0,3.01,0.052,0.571,2.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104,0.0,0.571,0.415,8.926,0.0,0.0,0.882,2.543,0.156,0.104,0.0,0.0,0.052,0.0,3.581,0.83,0.104,0.0,0.363,10.431,0.519,1.142,0.0,0.727,0.052,0.259,0.0,0.0,0.0,3.01,0.0,1.245,0.882,2.439,9.081,0.104,2024a,D1XYM8,-0.2877414682070123,0.1991443149957613,0.0941955362539373,0.1049487787418239,ARG,LEF,2011
150025_200906,0.032258064516129,150,Argentina,0,0,2009-06-28,200906,150025,Front for Victory,FpV,20,,314,5,2015.0,0.797,0.606,30.28,0.0,,87.0,257.0,8,911,2024-1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333,6.667,0.0,0.0,0.0,10.0,0.0,0.0,6.667,0.0,3.333,0.0,0.0,0.0,6.667,10.0,6.667,0.0,3.333,0.0,0.0,3.333,0.0,3.333,0.0,0.0,0.0,0.0,0.0,0.0,6.667,3.333,13.333,0.0,6.667,0.0,0.0,0.0,0.0,0.0,0.0,6.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,16.667,0.0,16.667,0.0,2024a,7MMO7P,-1.5663889489016456,-1.6500426339500496,-1.3086104262942273,-0.3414322076558223,ARG,LEF,2009
150025_201110,0.046979865771812,150,Argentina,0,0,2011-10-23,201110,150025,Front for Victory,FpV,20,Cristina Fernández de Kirchner,314,5,2015.0,0.797,0.606,49.1,0.0,54.11,115.0,257.0,8,901,2024-1,146.0,0.0,0.0,0.0,2.74,0.0,0.0,2.055,5.479,7.534,0.0,0.0,1.37,4.11,0.0,0.0,0.0,0.0,0.685,0.0,21.918,0.0,1.37,0.0,3.425,0.0,1.37,0.0,2.055,0.0,1.37,4.11,0.685,0.685,0.0,0.0,0.685,1.37,0.0,10.959,4.11,0.0,4.11,0.0,0.685,0.0,0.0,0.0,0.685,5.479,1.37,0.0,6.164,0.0,2.055,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,1.37,0.0,1.37,4.11,0.0,0.0,0.0,19.863,0.0,0.0,0.0,0.0,2.055,0.0,0.685,0.685,0.0,0.0,0.0,0.685,0.0,5.479,0.0,0.685,0.0,0.685,0.0,0.0,0.0,2.055,0.0,-3.425,4.11,0.0,15.068,2.055,2024a,CHOWLQ,-0.2837522179293437,-0.0102314408916659,0.0985721483851952,-0.1088035892768611,ARG,LEF,2011
150025_201310,0.0,150,Argentina,0,0,2013-10-27,201310,150025,Front for Victory,FpV,20,,314,5,2015.0,0.797,0.606,33.15,0.0,,132.0,257.0,8,901,2024-1,51.0,1.961,0.0,0.0,5.882,0.0,0.0,0.0,0.0,3.922,0.0,0.0,5.882,9.804,0.0,0.0,0.0,0.0,0.0,0.0,17.647,0.0,1.961,0.0,0.0,0.0,0.0,0.0,0.0,1.961,0.0,3.922,1.961,0.0,3.922,0.0,0.0,0.0,0.0,5.882,9.804,0.0,1.961,0.0,1.961,0.0,0.0,0.0,0.0,3.922,0.0,0.0,5.882,0.0,1.961,0.0,5.882,3.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.922,1.961,0.0,5.882,5.882,0.0,3.922,0.0,11.765,1.961,0.0,0.0,0.0,3.922,0.0,0.0,1.961,0.0,0.0,0.0,0.0,0.0,3.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.961,0.0,0.0,1.961,3.922,15.686,0.0,2024a,ZV2ZTW,-0.1448074753542449,0.1433257248287705,0.2510086223093302,-0.1076828974805596,ARG,LEF,2013
