manifesto_id,lowe_rile,edate,partyabbrev,parfam_meta,coderyear,pervote,presvote,absseat,totseats,progtype,corpusversion,total,peruncod,416_meta_perc,501_meta_perc,mpd_rile,planeco,markeco,welfare,intpeace,datasetversion,country,language,partyname,parfam_name,party,parfam_fixed,year,date,climate_dec,climate_perc,501_dec,416_dec,std_mpd_rile,std_lowe_rile,std_diff_rile
11320_199109,-0.519534688479967,15/09/1991,SAP,30,1994.0,37.705,,138,349,1,,130,21.538,0.0,11.538,-6.154,0.0,5.385,20.0,0.0,2023a,Sweden,swedish,Social Democratic Labour Party,SOC,11320,30,1991,199109,0.0390625,3.90625,0.11538,0.0,-0.0618642803733701,-0.0149717746467954,-0.0468925057265746
11420_199109,-0.0128284712783894,15/09/1991,FP,40,1994.0,9.128,,33,349,1,,280,22.143,0.0,4.286,3.929,0.357,5.714,10.357,0.0,2023a,Sweden,swedish,Liberal People’s Party,LIB,11420,40,1991,199109,0.01901140684,1.901140684,0.04286,0.0,0.456913799087752,0.6330453729261515,-0.1761315738383995
11520_199109,-0.3471840238278094,15/09/1991,KdS,50,1994.0,7.135,,26,349,1,,44,4.545,0.0,11.364,-4.545,0.0,9.091,20.455,2.273,2023a,Sweden,swedish,Christian Democratic Community Party,CHR,11520,50,1991,199109,0.0,0.0,0.11364,0.0,0.0209200030594321,0.2054442816372776,-0.1845242785778454
11620_199109,0.8642757606962057,15/09/1991,MSP,60,1994.0,21.924,,80,349,1,,192,5.729,0.0,3.646,43.75,0.0,22.917,4.688,0.0,2023a,Sweden,swedish,Moderate Coalition Party,CON,11620,60,1991,199109,0.02369668246,2.369668246,0.03646,0.0,2.5057347752080874,1.7547576457049667,0.7509771295031207
11810_199109,-0.4424575374797843,15/09/1991,CP,80,1994.0,8.503,,31,349,1,,129,6.977,0.0,22.481,5.426,0.0,3.101,17.829,0.775,2023a,Sweden,swedish,Centre Party,AGR,11810,80,1991,199109,0.08943089431,8.943089431,0.22481,0.0,0.5339355966632057,0.0836007587829999,0.4503348378802057
11951_199109,1.2366717957422342,15/09/1991,NyD,95,1994.0,6.732,,25,349,1,,278,5.755,0.0,3.597,42.806,1.799,22.662,2.878,0.36,2023a,Sweden,swedish,New Democracy,SIP,11951,95,1991,199109,0.04956268222,4.956268222,0.03597,0.0,2.457165251553292,2.2310080018398337,0.2261572497134585
11110_199409,-0.5440040224633091,18/09/1994,MP,10,1997.0,5.023,,18,349,1,,80,7.5,0.0,33.75,-6.25,10.0,12.5,21.25,2.5,2023a,Sweden,swedish,Green Ecology Party,ECO,11110,10,1994,199409,0.09459459459,9.459459459,0.3375,0.0,-0.0668035539653832,-0.0462651503201141,-0.020538403645269
11220_199409,-1.2029066797524468,18/09/1994,V,20,1997.0,6.174,,22,349,1,,176,9.659,0.0,13.068,-27.273,10.227,2.841,26.705,0.0,2023a,Sweden,swedish,Left Party,LEF,11220,20,1994,199409,0.04117647059,4.117647059,0.13068,0.0,-1.1484530198496608,-0.8889234916028718,-0.259529528246789
11320_199409,1.192320827324922,18/09/1994,SAP,30,1997.0,45.25,,161,349,1,,206,8.738,0.0,1.942,23.786,0.0,19.417,11.65,0.0,2023a,Sweden,swedish,Social Democratic Labour Party,SOC,11320,30,1994,199409,0.01421800948,1.421800948,0.01942,0.0,1.4785716711357042,2.174288374035364,-0.6957167028996591
11420_199409,0.495230797763277,18/09/1994,FP,40,1997.0,7.192,,26,349,1,,192,12.5,0.0,3.646,19.271,0.0,16.146,28.646,1.563,2023a,Sweden,swedish,Liberal People’s Party,LIB,11420,40,1994,199409,0.0,0.0,0.03646,0.0,1.2462714600113398,1.2827929133069371,-0.0365214532955973
11620_199409,1.1243035937014385,18/09/1994,MSP,60,1997.0,22.38,,80,349,1,,199,7.538,0.0,3.518,40.201,0.0,28.643,1.508,1.508,2023a,Sweden,swedish,Moderate Coalition Party,CON,11620,60,1994,199409,0.03157894737,3.157894737,0.03518,0.0,2.3231360046033545,2.0873024002655605,0.235833604337794
11810_199409,0.2594776495406563,18/09/1994,CP,80,1997.0,7.653,,27,349,1,,165,1.818,0.0,21.818,21.818,0.606,14.545,18.182,0.606,2023a,Sweden,swedish,Centre Party,AGR,11810,80,1994,199409,0.05625,5.625,0.21818,0.0,1.3773165624994363,0.981292601180731,0.3960239613187053
11220_199809,-1.7144008164633533,21/09/1998,V,20,1998.0,11.99,,43,349,1,,331,9.668,0.0,15.71,-35.952,9.97,0.604,26.586,1.813,2023a,Sweden,swedish,Left Party,LEF,11220,20,1998,199809,0.06430868167,6.430868167,0.1571,0.0,-1.5949942230275918,-1.5430638202971785,-0.0519304027304132
11320_199809,-0.2621258436029476,21/09/1998,SAP,30,1998.0,36.39,,131,349,1,,256,12.5,0.0,1.953,-3.516,0.0,10.547,23.438,0.0,2023a,Sweden,swedish,Social Democratic Labour Party,SOC,11320,30,1998,199809,0.004255319149,0.4255319149,0.01953,0.0,0.0738628418738221,0.3142236047556539,-0.2403607628818317
11520_199809,-0.1640174062813262,21/09/1998,Kd,50,1998.0,11.77,,42,349,1,,167,5.988,0.0,10.778,4.79,0.0,16.168,26.347,0.0,2023a,Sweden,swedish,Christian Democrats,CHR,11520,50,1998,199809,0.03333333333,3.333333333,0.10778,0.0,0.5012129091161192,0.4396926587118335,0.0615202504042856
11620_199809,1.014902049564375,21/09/1998,MSP,60,1998.0,22.9,,82,349,1,,334,10.18,0.0,2.994,37.425,0.0,27.844,4.79,1.198,2023a,Sweden,swedish,Moderate Coalition Party,CON,11620,60,1998,199809,0.03883495146,3.883495146,0.02994,0.0,2.180308676567644,1.9473908022525983,0.2329178743150448
11810_199809,-0.2540588357777924,21/09/1998,CP,80,1998.0,5.13,,18,349,1,,242,4.132,0.0,11.57,11.57,2.479,9.091,14.876,0.826,2023a,Sweden,swedish,Centre Party,AGR,11810,80,1998,199809,0.02941176471,2.941176471,0.1157,0.0,0.8500491065520418,0.3245403508756766,0.5255087556763651
11220_200209,-2.2729657522139584,15/09/2002,V,20,2003.0,8.388,,30,349,1,,407,7.617,0.0,9.828,-33.661,4.914,0.0,23.587,0.491,2023a,Sweden,swedish,Left Party,LEF,11220,20,2002,200209,0.02255639098,2.255639098,0.09828,0.0,-1.4771205167848631,-2.257402117542461,0.7802816007575981
11320_200209,-0.8892702582267775,15/09/2002,SAP,30,2003.0,39.854,,144,349,1,,273,8.791,0.0,5.128,-18.315,0.366,4.396,15.751,0.733,2023a,Sweden,swedish,Social Democratic Labour Party,SOC,11320,30,2002,200209,0.01923076923,1.923076923,0.05128,0.0,-0.6875570527949417,-0.4878197112417219,-0.1997373415532198
11420_200209,-0.2729582948650169,15/09/2002,FP,40,2003.0,13.394,,48,349,1,,429,12.354,0.0,8.392,0.932,2.098,6.76,7.925,0.233,2023a,Sweden,swedish,Liberal People’s Party,LIB,11420,40,2002,200209,0.04032258065,4.032258065,0.08392,0.0,0.3027158516370942,0.3003701845098223,0.0023456671272718
11520_200209,-0.192190776332727,15/09/2002,Kd,50,2003.0,9.15,,33,349,1,,332,6.024,0.0,10.542,6.325,1.205,4.217,15.663,0.301,2023a,Sweden,swedish,Christian Democrats,CHR,11520,50,2002,200209,0.05279503106,5.279503106,0.10542,0.0,0.5801898358217447,0.4036622602709891,0.1765275755507555
11620_200209,0.9404989971816208,15/09/2002,MSP,60,2003.0,15.256,,55,349,1,,423,6.619,0.0,2.364,38.061,0.709,21.749,8.747,0.236,2023a,Sweden,swedish,Moderate Coalition Party,CON,11620,60,2002,200209,0.0275,2.75,0.02364,0.0,2.21303136411473,1.8522381237595844,0.3607932403551455
11810_200209,-0.1439181884928677,15/09/2002,CP,80,2003.0,6.193,,22,349,1,,263,6.844,0.0,9.886,10.646,0.38,8.365,12.167,0.0,2023a,Sweden,swedish,Centre Party,AGR,11810,80,2002,200209,0.00625,0.625,0.09886,0.0,0.8025085982289161,0.4653971741441808,0.3371114240847352
11110_200609,-1.0501986514029191,17/09/2006,MP,10,2010.0,5.244,,19,349,1,2023-1,198,0.505,0.0,17.172,-11.616,4.545,0.0,29.798,1.515,2023a,Sweden,swedish,Green Ecology Party,ECO,11110,10,2006,200609,0.07262569832,7.262569832,0.17172,0.0,-0.3428883674522801,-0.6936280371893284,0.3507396697370483
11220_200609,-1.2849197175049871,17/09/2006,V,20,2010.0,5.85,,22,349,1,2023-1,389,0.0,0.0,5.398,-35.99,12.082,0.0,24.679,1.028,2023a,Sweden,swedish,Left Party,LEF,11220,20,2006,200609,0.03757225434,3.757225434,0.05398,0.0,-1.5969493521577638,-0.9938084387063554,-0.6031409134514084
11320_200609,-1.064189314828594,17/09/2006,SAP,30,2010.0,34.994,,130,349,1,2023-1,393,0.0,0.0,5.089,-24.173,4.071,1.527,29.517,1.781,2023a,Sweden,swedish,Social Democratic Labour Party,SOC,11320,30,2006,200609,0.048,4.8,0.05089,0.0,-0.9889556434409056,-0.7115204361731609,-0.2774352072677446
11420_200609,-0.018367357577512,17/09/2006,FP,40,2010.0,7.537,,28,349,1,2023-1,605,0.0,0.0,4.463,14.545,1.983,4.298,16.694,0.0,2023a,Sweden,swedish,Liberal People’s Party,LIB,11420,40,2006,200609,0.03865546218,3.865546218,0.04463,0.0,1.0031151371378637,0.6259617943584538,0.3771533427794097
11520_200609,-0.3524923118764631,17/09/2006,Kd,50,2010.0,6.593,,24,349,1,2023-1,124,0.0,0.0,7.258,0.806,4.839,5.645,20.968,0.0,2023a,Sweden,swedish,Christian Democrats,CHR,11520,50,2006,200609,0.06722689076,6.722689076,0.07258,0.0,0.296233055047577,0.1986556108789401,0.0975774441686368
11620_200609,-0.3291764152999263,17/09/2006,MSP,60,2010.0,26.23,,97,349,2,2023-1,858,0.0,0.0,6.76,3.963,1.632,4.196,17.249,0.583,2023a,Sweden,swedish,Moderate Coalition Party,CON,11620,60,2006,200609,0.07322929172,7.322929172,0.0676,0.0,0.4586631251515899,0.2284738769268235,0.2301892482247664
11810_200609,-0.5924241549063218,17/09/2006,CP,80,2010.0,7.879,,29,349,1,2023-1,314,0.0,0.0,14.013,-4.459,4.14,3.822,18.79,0.318,2023a,Sweden,swedish,Centre Party,AGR,11810,80,2006,200609,0.08417508418,8.417508418,0.14013,0.0,0.0253447689856105,-0.1081887562393661,0.1335335252249766
