manifesto_id,lowe_rile,edate,partyabbrev,parfam_meta,candidatename,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,corpusversion,total,peruncod,416_meta_perc,501_meta_perc,rile,planeco,markeco,welfare,intpeace,datasetversion,country,language,partyname,parfam_name,party,parfam_fixed,year,date,501_raw,416_raw,final_broad,final_broad_perc,501_meta_dec,416_meta_dec,std_rile,std_lowe_rile,std_diff_rile
11320_199109,-0.519534688479967,15/09/1991,SAP,30,,1,1994.0,0.631,,37.705,0.0,,138,349,1,,130,21.538,0.0,11.538,-6.154,0.0,5.385,20.0,0.0,2023a,Sweden,swedish,Social Democratic Labour Party,SOC,11320,30,1991,199109,0.1484375,0.0078125,0.0390625,3.90625,0.11538,0.0,-0.061864280373370134,-0.014971774646795452,-0.04689250572657468
11420_199109,-0.012828471278389486,15/09/1991,FP,40,,1,1994.0,0.631,,9.128,0.0,,33,349,1,,280,22.143,0.0,4.286,3.929,0.357,5.714,10.357,0.0,2023a,Sweden,swedish,Liberal People’s Party,LIB,11420,40,1991,199109,0.03041825095,0.0,0.01901140684,1.901140684,0.04286,0.0,0.456913799087752,0.6330453729261515,-0.1761315738383995
11520_199109,-0.34718402382780944,15/09/1991,KdS,50,,1,1994.0,0.631,,7.135,0.0,,26,349,1,,44,4.545,0.0,11.364,-4.545,0.0,9.091,20.455,2.273,2023a,Sweden,swedish,Christian Democratic Community Party,CHR,11520,50,1991,199109,0.07692307692,0.0,0.0,0.0,0.11364,0.0,0.020920003059432157,0.20544428163727763,-0.18452427857784548
11620_199109,0.8642757606962057,15/09/1991,MSP,60,,1,1994.0,0.631,,21.924,0.0,,80,349,1,,192,5.729,0.0,3.646,43.75,0.0,22.917,4.688,0.0,2023a,Sweden,swedish,Moderate Coalition Party,CON,11620,60,1991,199109,0.02843601896,0.0,0.02369668246,2.369668246,0.03646,0.0,2.5057347752080874,1.7547576457049667,0.7509771295031207
11810_199109,-0.44245753747978434,15/09/1991,CP,80,,1,1994.0,0.631,,8.503,0.0,,31,349,1,,129,6.977,0.0,22.481,5.426,0.0,3.101,17.829,0.775,2023a,Sweden,swedish,Centre Party,AGR,11810,80,1991,199109,0.1707317073,0.0,0.08943089431,8.943089431,0.22481,0.0,0.5339355966632057,0.08360075878299995,0.45033483788020573
11951_199109,1.2366717957422342,15/09/1991,NyD,95,,1,1994.0,0.631,,6.732,0.0,,25,349,1,,278,5.755,0.0,3.597,42.806,1.799,22.662,2.878,0.36,2023a,Sweden,swedish,New Democracy,SIP,11951,95,1991,199109,0.07288629738,0.0,0.04956268222,4.956268222,0.03597,0.0,2.4571652515532922,2.2310080018398337,0.22615724971345852
11110_199409,-0.5440040224633091,18/09/1994,MP,10,,1,1997.0,0.631,,5.023,0.0,,18,349,1,,80,7.5,0.0,33.75,-6.25,10.0,12.5,21.25,2.5,2023a,Sweden,swedish,Green Ecology Party,ECO,11110,10,1994,199409,0.1486486486,0.01351351351,0.09459459459,9.459459459,0.3375,0.0,-0.0668035539653832,-0.046265150320114114,-0.020538403645269092
11220_199409,-1.2029066797524468,18/09/1994,V,20,,1,1997.0,0.631,,6.174,0.0,,22,349,1,,176,9.659,0.0,13.068,-27.273,10.227,2.841,26.705,0.0,2023a,Sweden,swedish,Left Party,LEF,11220,20,1994,199409,0.1176470588,0.01176470588,0.04117647059,4.117647059,0.13068,0.0,-1.1484530198496608,-0.8889234916028718,-0.259529528246789
11320_199409,1.192320827324922,18/09/1994,SAP,30,,1,1997.0,0.631,,45.25,0.0,,161,349,1,,206,8.738,0.0,1.942,23.786,0.0,19.417,11.65,0.0,2023a,Sweden,swedish,Social Democratic Labour Party,SOC,11320,30,1994,199409,0.02843601896,0.0,0.01421800948,1.421800948,0.01942,0.0,1.4785716711357042,2.1742883740353633,-0.6957167028996591
11420_199409,0.49523079776327705,18/09/1994,FP,40,,1,1997.0,0.631,,7.192,0.0,,26,349,1,,192,12.5,0.0,3.646,19.271,0.0,16.146,28.646,1.563,2023a,Sweden,swedish,Liberal People’s Party,LIB,11420,40,1994,199409,0.04347826087,0.0,0.0,0.0,0.03646,0.0,1.2462714600113398,1.2827929133069371,-0.036521453295597306
