qs_new,original_text,trans,final_climate,manifesto_id,year,party,country,language,date,source,is_primary_doc,handbook,partyname,partyabbrev,parfam,pervote,party_id,kw_cc,kw_c,kw_gw,kw_cer,kw_se,any_kw
11110_201409_0016,Inte klimatet.,Not the climate.,1,11110_201409,2014,11110,Sweden,swedish,201409,MARPOR,TRUE,5,Green Ecology Party,MP,10,6.889,11110,0,1,0,1,0,1
13320_200111_1238,Det har vi nået.,We have achieved that.,0,13320_200111,2001,13320,Denmark,danish,200111,MARPOR,TRUE,1,Social Democratic Party,SD,30,29.08,13320,0,0,0,0,0,0
81711_202007_0995,Jačanje obitelji,Strengthening the family,0,81711_202007,2020,81711,Croatia,croatian,202007,MARPOR,TRUE,5,Croatian Democratic Union,HDZ,70,37.255,81711,0,0,0,0,0,0
14810_201904_0301,Ilmasto ei odota.,The climate doesn't wait.,1,14810_201904,2019,14810,Finland,finnish,201904,MARPOR,TRUE,5,Finnish Centre,SK,80,13.755,14810,0,1,0,1,0,1
11620_201009_1680,"miljö och klimat,","environment and climate,",1,11620_201009,2010,11620,Sweden,swedish,201009,MARPOR,TRUE,3,Moderate Coalition Party,MSP,60,30.06,11620,0,1,0,1,1,1
81711_202007_0660,"i zaštiti okoliša,","and environmental protection,",0,81711_202007,2020,81711,Croatia,croatian,202007,MARPOR,TRUE,5,Croatian Democratic Union,HDZ,70,37.255,81711,0,0,0,0,1,1
11420_201809_0153,och leva i frihet.,and live in freedom.,0,11420_201809,2018,11420,Sweden,swedish,201809,MARPOR,TRUE,5,Liberals,L,40,5.49,11420,0,0,0,0,0,0
11810_201009_0117,En ambitiös klimat-,An ambitious climate,0,11810_201009,2010,11810,Sweden,swedish,201009,MARPOR,TRUE,3,Centre Party,CP,80,6.56,11810,0,1,0,1,0,1
51320_201912_1567,"and the environment,",,0,51320_201912,2019,51320,United Kingdom,english,201912,MARPOR,TRUE,5,Labour Party,Labour,30,32.05,51320,0,0,0,0,1,1
87340_201810_0018,"Izbeigsim OIK afēru,","Let's end the OIK affair,",0,87340_201810,2018,87340,Latvia,latvian,201810,MARPOR,TRUE,5,Social Democartic Party Harmony,SDPS,30,19.919,87340,0,0,0,0,0,0
13420_200711_0127,Lavere energiforbrug,Lower energy consumption,1,13420_200711,2007,13420,Denmark,danish,200711,MARPOR,TRUE,3,Liberals,V,40,26.26,13420,0,0,0,0,0,0
11620_201009_1304,miljöfarliga utsläpp,environmentally hazardous emissions,0,11620_201009,2010,11620,Sweden,swedish,201009,MARPOR,TRUE,3,Moderate Coalition Party,MSP,60,30.06,11620,0,0,0,1,1,1
33610_200003_0028,y el medio ambiente.,and the environment.,0,33610_200003,2000,33610,Spain,spanish,200003,MARPOR,TRUE,1,People's Party,PP,60,44.524,33610,0,0,0,0,1,1
82413_201710_0411,a energetické využití,and energy use,1,82413_201710,2017,82413,Czech Republic,czech,201710,MARPOR,TRUE,5,Civic Democratic Party,ODS,60,11.322,82413,0,0,0,0,0,0
87041_200610_0059,Investēsim kultūrvidē.,Let's invest in the cultural environment.,0,87041_200610,2006,87041,Latvia,latvian,200610,MARPOR,TRUE,5,‘Latvia's First Party' and ‘Latvian Way' Union,LPP/LC,40,8.581,87041,0,0,0,0,0,0
92040_201910_1084,Pewność dostaw energii,Reliability of energy supply,1,92040_201910,2019,92040,Poland,polish,201910,MARPOR,TRUE,5,Civic Coalition,KO,40,27.397,92040,0,0,0,0,0,0
93223_201612_1106,Termocentrala Paroseni,Paroseni thermal power plant,1,93223_201612,2016,93223,Romania,romanian,201612,MARPOR,TRUE,5,Social Democratic Party,PSD,20,45.476,93223,0,0,0,0,0,0
34213_201206_0580,Νέος ρόλος του κράτους,New role of the state,0,34213_201206,2012,34213,Greece,greek,201206,MARPOR,TRUE,5,Democratic Left,DIMAR,20,6.256,34213,0,0,0,0,0,0
81711_202007_1949,"o eksplozivnim tvarima,","on explosive substances,",0,81711_202007,2020,81711,Croatia,croatian,202007,MARPOR,TRUE,5,Croatian Democratic Union,HDZ,70,37.255,81711,0,0,0,0,0,0
11220_200609_0375,och hållbar utveckling.,and sustainable development.,0,11220_200609,2006,11220,Sweden,swedish,200609,MARPOR,TRUE,3,Left Party,V,20,5.85,11220,0,0,0,0,1,1
53320_200705_0834,COMBATING GLOBAL WARMING,,1,53320_200705,2007,53320,Ireland,english,200705,MARPOR,TRUE,3,Labour Party,Labour,30,10.126,53320,1,0,1,0,0,1
53320_201102_0478,combating global warming,,1,53320_201102,2011,53320,Ireland,english,201102,MARPOR,TRUE,4,Labour Party,Labour,30,19.447,53320,1,0,1,0,0,1
93223_201612_0197,Îmbuteliere apă minerală,Bottled mineral water,0,93223_201612,2016,93223,Romania,romanian,201612,MARPOR,TRUE,5,Social Democratic Party,PSD,20,45.476,93223,0,0,0,0,0,0
14320_201904_2991,ja päästöjä vähennetään.,and emissions are reduced.,0,14320_201904,2019,14320,Finland,finnish,201904,MARPOR,TRUE,5,Finnish Social Democrats,SSDP,30,17.732,14320,0,0,0,1,0,1
86220_201004_1037,Jogalkotás–jogalkalmazás,Legislation – law enforcement,0,86220_201004,2010,86220,Hungary,hungarian,201004,MARPOR,TRUE,3,Hungarian Socialist Party,MSzP,30,15.28,86220,0,0,0,0,0,0
11620_201009_0039,och miljö- och klimathot,and environmental and climate threats,1,11620_201009,2010,11620,Sweden,swedish,201009,MARPOR,TRUE,3,Moderate Coalition Party,MSP,60,30.06,11620,0,1,0,1,1,1
51320_201706_0194,"This will cut emissions,",,0,51320_201706,2017,51320,United Kingdom,english,201706,MARPOR,TRUE,5,Labour Party,Labour,30,39.988,51320,0,0,0,1,0,1
87062_201810_0059,a. CO2 neitrāla ekonomika,a. CO2 neutral economy,1,87062_201810,2018,87062,Latvia,latvian,201810,MARPOR,TRUE,5,Unity,,60,6.739,87062,0,0,0,0,0,0
88320_201210_0641,AKTYVI SVEIKATOS POLITIKA,ACTIVE HEALTH POLICY,0,88320_201210,2012,88320,Lithuania,lithuanian,201210,MARPOR,TRUE,4,Lithuanian Social Democratic Party,LSDP,30,19.176,88320,0,0,0,0,0,0
83720_201503_0456,Loodushoid ja energeetika,Nature conservation and energy,1,83720_201503,2015,83720,Estonia,estonian,201503,MARPOR,TRUE,5,Conservative People's Party of Estonia,EKRE,70,8.146,83720,0,0,0,0,0,0
97710_200809_0109,"Sodstvo, policija, vojska","Judiciary, police, army",0,97710_200809,2008,97710,Slovenia,slovenian,200809,MARPOR,TRUE,3,Slovenian National Party,SNS,70,5.403,97710,0,0,0,0,0,0
82320_200206_0037,Trvale udržitelný rozvoj.,Sustainable Development.,0,82320_200206,2002,82320,Czech Republic,czech,200206,MARPOR,TRUE,999,Czech Social Democratic Party,ČSSD,30,30.207,82320,0,0,0,0,1,1
81711_202007_1957,Zakon o zaštiti od požara,Law on Fire Protection,0,81711_202007,2020,81711,Croatia,croatian,202007,MARPOR,TRUE,5,Croatian Democratic Union,HDZ,70,37.255,81711,0,0,0,0,0,0
97340_201112_0174,ZDRAVO ŽIVLJENJSKO OKOLJE,HEALTHY LIVING ENVIRONMENT,0,97340_201112,2011,97340,Slovenia,slovenian,201112,MARPOR,TRUE,4,Zoran Janković's List - Positive Slovenia,PS,30,28.512,97340,0,0,0,0,1,1
51320_201912_0267,climate change obligations,,1,51320_201912,2019,51320,United Kingdom,english,201912,MARPOR,TRUE,5,Labour Party,Labour,30,32.05,51320,1,1,0,1,0,1
14320_201904_1996,Ilmastonmuutoksen torjunta,Combating climate change,1,14320_201904,2019,14320,Finland,finnish,201904,MARPOR,TRUE,5,Finnish Social Democrats,SSDP,30,17.732,14320,0,1,0,1,0,1
96440_201203_0777,JD.jpgMgr. Juraj Droba MBA,JD.jpgMgr. Juraj Droba MBA,0,96440_201203,2012,96440,Slovakia,slovak,201203,MARPOR,TRUE,4,Freedom and Solidarity,SaS,40,5.884,96440,0,0,0,0,0,0
11520_201009_0424,Miljö- och klimatpolitiken,Environmental and climate policy,1,11520_201009,2010,11520,Sweden,swedish,201009,MARPOR,TRUE,3,Christian Democrats,Kd,50,5.6,11520,0,1,0,1,1,1
82110_200606_0073,Prosazujeme odklon od ropy,We are pushing for a shift away from oil,1,82110_200606,2006,82110,Czech Republic,czech,200606,MARPOR,TRUE,3,Green Party,SZ,10,6.29,82110,0,0,0,0,0,0
51620_201912_1115,and fighting climate change,,1,51620_201912,2019,51620,United Kingdom,english,201912,MARPOR,TRUE,5,Conservative Party,Conservatives,60,43.589,51620,1,1,0,1,0,1
51620_201505_1700,and project power globally.,,0,51620_201505,2015,51620,United Kingdom,english,201505,MARPOR,TRUE,4,Conservative Party,Conservatives,60,36.882,51620,0,0,0,0,0,0
86710_201804_1850,"és csökken a talajvízszint,","and the groundwater level decreases,",0,86710_201804,2018,86710,Hungary,hungarian,201804,MARPOR,TRUE,5,Movement for a Better Hungary,Jobbik,70,19.064,86710,0,0,0,0,0,0
83612_200703_0082,Jätkusuutlik maksupoliitika,Sustainable tax policy,0,83612_200703,2007,83612,Estonia,estonian,200703,MARPOR,TRUE,3,Estonian People’s Union,ERL,80,7.13,83612,0,0,0,0,1,1
13620_201906_0216,Klimamål er kloge milepæle.,Climate targets are smart milestones.,1,13620_201906,2019,13620,Denmark,danish,201906,MARPOR,TRUE,5,Conservative People’s Party,KF,60,6.622,13620,0,1,0,1,0,1
31110_201206_0793,Les écologistes proposent :,Environmentalists propose:,0,31110_201206,2012,31110,France,french,201206,MARPOR,TRUE,4,Europe Ecology - The Greens,EÉLV,10,5.465,31110,0,0,0,0,0,0
11220_201409_0027,miljövänliga trans- porter.,environmentally friendly transport.,0,11220_201409,2014,11220,Sweden,swedish,201409,MARPOR,TRUE,5,Left Party,V,20,5.718,11220,0,0,0,0,1,1
86710_201404_3944,ø A vörösiszap veszélyének.,ø The danger of red mud.,0,86710_201404,2014,86710,Hungary,hungarian,201404,MARPOR,TRUE,5,Movement for a Better Hungary,Jobbik,70,20.583,86710,0,0,0,0,0,0
13320_199803_0043,og forsømme miljøindsatsen.,and neglect environmental efforts.,0,13320_199803,1998,13320,Denmark,danish,199803,MARPOR,TRUE,1,Social Democratic Party,SD,30,35.93,13320,0,0,0,0,1,1
87110_200610_0049,un palielinātos to budžeti.,and their budgets would increase.,0,87110_200610,2006,87110,Latvia,latvian,200610,MARPOR,TRUE,5,Greens' and Farmers’ Union,ZZS,80,16.705,87110,0,0,0,0,0,0
87071_201010_0027,atjaunojot zemessardzes lomu,restoring the role of the National Guard,0,87071_201010,2010,87071,Latvia,latvian,201010,MARPOR,TRUE,5,National Alliance ‘All For Latvia!' – ‘For Fatherland and Freedom - Latvian National Independence Movement',,70,7.835,87071,0,0,0,1,0,1
53321_201602_0107,flooding and climate change.,,1,53321_201602,2016,53321,Ireland,english,201602,MARPOR,TRUE,5,Social Democrats,,,3.005,53321,1,1,0,1,0,1
11420_201409_0371,Närvarande och synlig polis.,Present and visible police.,0,11420_201409,2014,11420,Sweden,swedish,201409,MARPOR,TRUE,5,Liberal People’s Party,FP,40,5.42,11420,0,0,0,0,0,0
92210_201110_2592,Przyjazny klimat dla biznesu,Friendly climate for business,0,92210_201110,2011,92210,Poland,polish,201110,MARPOR,TRUE,4,Democratic Left Alliance,SLD,30,8.242,92210,0,1,0,1,0,1
14320_201504_0169,sekä työhön sijoittumisessa.,and in getting a job.,0,14320_201504,2015,14320,Finland,finnish,201504,MARPOR,TRUE,5,Finnish Social Democrats,SSDP,30,16.51,14320,0,0,0,0,0,0
14810_200703_0254,Suomi tarvitsee bioreformia.,Finland needs bioreform.,0,14810_200703,2007,14810,Finland,finnish,200703,MARPOR,TRUE,4,Finnish Centre,SK,80,23.11,14810,0,0,0,0,0,0
41521_202109_0095,"und Klimaschutz voranbringt,","and advances climate protection,",1,41521_202109,2021,41521,Germany,german,202109,MARPOR,TRUE,5,Christian Democratic Union/Christian Social Union,CDU/CSU,50,24.1,41521,0,1,0,1,0,1
33610_201111_0986,y de nuestro medio ambiente.,and our environment.,0,33610_201111,2011,33610,Spain,spanish,201111,MARPOR,TRUE,4,People's Party,PP,60,45.24,33610,0,0,0,0,1,1
34313_200403_2104,Ανανεώσιμες Πηγές Ενέργειας.,Renewable energy sources.,1,34313_200403,2004,34313,Greece,greek,200403,MARPOR,TRUE,3,Panhellenic Socialist Movement,PASOK,30,40.548,34313,0,0,0,1,0,1
53320_201102_1683,cooperaTion on climaTe change,,1,53320_201102,2011,53320,Ireland,english,201102,MARPOR,TRUE,4,Labour Party,Labour,30,19.447,53320,1,1,0,1,0,1
86221_201804_1427,"és fenntartható gazdaságilag,","and economically sustainable,",0,86221_201804,2018,86221,Hungary,hungarian,201804,MARPOR,TRUE,5,Democratic Coalition,DK,20,5.376,86221,0,0,0,0,1,1
86710_201404_1621,és szabályozási környezettel.,and regulatory environment.,0,86710_201404,2014,86710,Hungary,hungarian,201404,MARPOR,TRUE,5,Movement for a Better Hungary,Jobbik,70,20.583,86710,0,0,0,0,1,1
97322_201407_0234,povečanje letnega poseka lesa,increase in annual timber harvest,0,97322_201407,2014,97322,Slovenia,slovenian,201407,MARPOR,TRUE,5,Social Democratic Party,SD,30,5.976,97322,0,0,0,0,0,0
93223_201612_0549,Protecţia resurselor naturale,Protection of natural resources,0,93223_201612,2016,93223,Romania,romanian,201612,MARPOR,TRUE,5,Social Democratic Party,PSD,20,45.476,93223,0,0,0,0,0,0
93221_200011_0387,taxe pe emisiile de poluanți;,taxes on pollutant emissions;,0,93221_200011,2000,93221,Romania,romanian,200011,MARPOR,TRUE,3,Democratic Party,PD,30,7.033,93221,0,0,0,1,0,1
86221_201804_1256,"újenergia-programok indítása,","launching new energy programs,",1,86221_201804,2018,86221,Hungary,hungarian,201804,MARPOR,TRUE,5,Democratic Coalition,DK,20,5.376,86221,0,0,0,0,0,0
87062_201010_0056,un videi draudzīgam biznesam.,and environmentally friendly business.,0,87062_201010,2010,87062,Latvia,latvian,201010,MARPOR,TRUE,5,Unity,,60,31.903,87062,0,0,0,0,1,1
34212_201206_0196,Ο ενεργειακός σχεδιασμός κ.ά.,Energy planning etc.,1,34212_201206,2012,34212,Greece,greek,201206,MARPOR,TRUE,5,Coalition of the Radical Left - Unionist Social Front,SYRIZA-EKN,20,26.887,34212,0,0,0,0,0,0
80510_201410_0482,Развитие на хидромелиорациите,Development of hydromeliorations,0,80510_201410,2014,80510,Bulgaria,bulgarian,201410,MARPOR,TRUE,5,Citizens for European Development of Bulgaria,GERB,50,32.666,80510,0,0,0,0,0,0
51421_201505_1081,6.4 Adapting to climate change,,1,51421_201505,2015,51421,United Kingdom,english,201505,MARPOR,TRUE,4,Liberal Democrats,LibDems,40,7.861,51421,1,1,0,1,0,1
97450_201112_0071,8) Uvedli bomo ciljno vodenje.,8) We will introduce targeted management.,0,97450_201112,2011,97450,Slovenia,slovenian,201112,MARPOR,TRUE,4,Gregor Virant's Civic List,LGV,40,8.372,97450,0,0,0,0,0,0
51421_201912_0589,contributing to climate change,,1,51421_201912,2019,51421,United Kingdom,english,201912,MARPOR,TRUE,5,Liberal Democrats,LibDems,40,11.537,51421,1,1,0,1,0,1
51421_201706_1082,particularly on climate change,,1,51421_201706,2017,51421,United Kingdom,english,201706,MARPOR,TRUE,5,Liberal Democrats,LibDems,40,7.365,51421,1,1,0,1,0,1
33610_200803_0316,Primero se negó que existiese.,First it was denied that it existed.,0,33610_200803,2008,33610,Spain,spanish,200803,MARPOR,TRUE,2,People's Party,PP,60,40.571,33610,0,0,0,0,0,0
93002_200811_0294,Programul Energia regenerabilă,The Renewable Energy Program,1,93002_200811,2008,93002,Romania,romanian,200811,MARPOR,TRUE,3,Social Democratic Party + Conservative Party Alliance,PSD-PC,98,33.099,93002,0,0,0,1,0,1
81032_202007_0514,te Pariški klimatski sporazum.,and the Paris Climate Agreement.,1,81032_202007,2020,81032,Croatia,croatian,202007,MARPOR,TRUE,5,Restart Coalition,,30,24.874,81032,0,1,0,1,0,1
87901_201410_0060,un bruņoto spēku modernizācija,and modernization of the armed forces,0,87901_201410,2014,87901,Latvia,latvian,201410,MARPOR,TRUE,5,Latvian Association of Regions,,90,6.708,87901,0,0,0,0,0,0
87110_201010_0062,un videi draudzīgu transportu.,and environmentally friendly transport.,1,87110_201010,2010,87110,Latvia,latvian,201010,MARPOR,TRUE,5,Greens' and Farmers’ Union,ZZS,80,20.112,87110,0,0,0,0,1,1
87110_201410_0093,•Atbalstīsim radošo industriju.,• We will support the creative industry.,0,87110_201410,2014,87110,Latvia,latvian,201410,MARPOR,TRUE,5,Greens' and Farmers’ Union,ZZS,80,19.658,87110,0,0,0,0,0,0
86221_201804_1372,"ami nemcsak a klímánkat kíméli,","which not only protects our climate,",1,86221_201804,2018,86221,Hungary,hungarian,201804,MARPOR,TRUE,5,Democratic Coalition,DK,20,5.376,86221,0,1,0,1,0,1
86110_201404_0139,"az alkalmazkodó vízhasználatra,","for adaptive water use,",0,86110_201404,2014,86110,Hungary,hungarian,201404,MARPOR,TRUE,5,Politics Can Be Different,LMP,10,5.273,86110,0,0,0,0,0,0
32440_200804_0007,contro il riscaldamento globale,against global warming,1,32440_200804,2008,32440,Italy,italian,200804,MARPOR,TRUE,2,Democratic Party,PD,30,33.163,32440,1,0,1,0,0,1
86221_201804_0977,és a megújuló energia esetében.,and in the case of renewable energy.,1,86221_201804,2018,86221,Hungary,hungarian,201804,MARPOR,TRUE,5,Democratic Coalition,DK,20,5.376,86221,0,0,0,1,0,1
82220_201310_0019,"obnovu specializovaných útvarů,","renewal of specialized units,",0,82220_201310,2013,82220,Czech Republic,czech,201310,MARPOR,TRUE,4,Communist Party of Bohemia and Moravia,KSČM,20,14.91,82220,0,0,0,0,0,0
14320_201504_0048,Puhdas ympäristö on itseisarvo.,A clean environment is an intrinsic value.,0,14320_201504,2015,14320,Finland,finnish,201504,MARPOR,TRUE,5,Finnish Social Democrats,SSDP,30,16.51,14320,0,0,0,0,1,1
22330_202103_0020,Strijden voor een beter klimaat,Fighting for a better climate,1,22330_202103,2021,22330,Netherlands,dutch,202103,MARPOR,TRUE,5,Democrats‘66,D’66,40,15.02334486,22330,0,1,0,1,0,1
87062_201010_0055,atjaunojamo resursu izmantošanai,for the use of renewable resources,1,87062_201010,2010,87062,Latvia,latvian,201010,MARPOR,TRUE,5,Unity,,60,31.903,87062,0,0,0,1,0,1
